id,date,user,pc,activity
{X1D9-S0ES98JV-5357PWMI},01/02/2010 6:49,NGF0157,PC-6056,Logon
{G2B3-L6EJ61GT-2222RKSO},01/02/2010 6:50,LRR0148,PC-4275,Logon
{U6Q3-U0WE70UA-3770UREL},01/02/2010 6:53,LRR0148,PC-4124,Logon
{I0N5-R7NA26TG-6263KNGM},01/02/2010 7:00,IRM0931,PC-7188,Logon
{D1S0-N6FH62BT-5398KANK},01/02/2010 7:00,MOH0273,PC-6699,Logon
{S6P1-M4MK04BB-0722IITW},01/02/2010 7:07,LAP0338,PC-5758,Logon
{M6O6-F9UU11TJ-2166YVFU},01/02/2010 7:08,MHH0180,PC-9822,Logon
{D0P1-U5IU49QG-5472TMLI},01/02/2010 7:08,NOB0181,PC-3446,Logon
{F9K3-Q1PD92IU-5821IGXW},01/02/2010 7:13,AHC0142,PC-8893,Logon
{S9A0-A3DP89HG-6719JORU},01/02/2010 7:14,CTR0341,PC-6184,Logon
{S6C5-Q8LQ18VJ-5964MXZD},01/02/2010 7:24,LRR0148,PC-4124,Logoff
{T4V9-H6HS83AJ-0413XDBH},01/02/2010 7:33,ATE0869,PC-1313,Logon
{X8J7-C5RR89HJ-3099MTBF},01/02/2010 7:33,NWK0215,PC-8370,Logon
{A3S1-G2TO16YZ-2746OJBC},01/02/2010 7:34,HVB0037,PC-7979,Logon
{P3Y3-J4EZ51PP-3037PQQN},01/02/2010 7:37,ABC0174,PC-5156,Logon
{O0T8-Z7BV88CG-8773PFKG},01/02/2010 7:37,AJR0319,PC-4736,Logon
{R5X8-U7BE31CB-8813MEER},01/02/2010 7:37,JKJ0698,PC-1917,Logon
{R8J9-J1VI88YY-2363LSWW},01/02/2010 7:38,JCR0172,PC-6713,Logon
{B6U5-D6EI94XX-1850PJXM},01/02/2010 7:40,NOB0181,PC-4124,Logon
{H5R1-Y8KO77UR-4210WBRW},01/02/2010 7:46,HAD0246,PC-0926,Logon
{P8J8-N0SM22CA-4356ABQB},01/02/2010 7:46,RRC0553,PC-6672,Logon
{C8O2-W2WK72JT-7595MCKX},01/02/2010 7:46,NOB0181,PC-4124,Logoff
{A4W2-E9VG78GM-9142SACC},01/02/2010 7:48,IKP0472,PC-3842,Logon
{L2B2-V4MV73IE-9681TUFQ},01/02/2010 7:49,BRS0734,PC-4785,Logon
{Q9H8-Z4OA25HK-4955DEMY},01/02/2010 7:49,IKP0472,PC-4124,Logon
{Z4U9-Y5HD56WF-9971WEET},01/02/2010 7:50,HPH0075,PC-2417,Logon
{O7E3-S7AO07NC-9501XBDN},01/02/2010 7:52,RZC0746,PC-7500,Logon
{G6R4-M3PG67RO-6057NVVO},01/02/2010 7:56,ESJ0670,PC-2321,Logon
{A5J9-L3VK40FP-9218RVLH},01/02/2010 7:56,IIW0249,PC-0843,Logon
{H8Y6-T5YU02GK-7782UDSS},01/02/2010 7:56,JKF0465,PC-6797,Logon
{L5G2-J6DB45UQ-6549MBBE},01/02/2010 7:58,AMW0392,PC-6163,Logon
{Y3O8-G3RQ78NY-4956VLZZ},01/02/2010 7:58,IKP0472,PC-4124,Logoff
{V9Z3-O9WF77ML-5087YNRM},01/02/2010 8:00,IRM0931,PC-4124,Logon
{P6J9-O9VB08UA-4438WYRG},01/02/2010 8:05,HSB0196,PC-8001,Logon
{Q0C9-O0SK97VF-2901JTEV},01/02/2010 8:07,YIC0195,PC-9353,Logon
{W7W1-Z2GJ48AQ-3263DZPJ},01/02/2010 8:13,NAH0503,PC-8267,Logon
{L1D3-W6HU10XA-9256OPXU},01/02/2010 8:13,WPR0368,PC-9842,Logon
{R9J0-Y2UO10YB-5176EUWX},01/02/2010 8:15,JDC0030,PC-0246,Logon
{Q3W2-Z7JN57XZ-9964UHZP},01/02/2010 8:16,IRM0931,PC-4124,Logoff
{F0D6-A3TY28NV-0761OSGG},01/02/2010 8:18,HDD0806,PC-6032,Logon
{T5E9-I4LT41MQ-5313JWSE},01/02/2010 8:20,AOK0844,PC-4659,Logon
{I1S2-K5OX13ST-9590PKMV},01/02/2010 8:20,FKK0055,PC-0435,Logon
{V7A9-Y7LH41ZJ-2646VDXF},01/02/2010 8:20,JHP0583,PC-9083,Logon
{Y3V5-Q2UP92TQ-2975NODY},01/02/2010 8:22,RAW0915,PC-2113,Logon
{H1M6-G2OL25WR-4072DMLM},01/02/2010 8:24,SSJ0784,PC-0840,Logon
{X3S7-X2XU42NR-2762EEXB},01/02/2010 8:29,FOB0756,PC-6204,Logon
{O5R3-N0IW89SP-4967IIWF},01/02/2010 8:47,CJM0521,PC-6249,Logon
{G9T5-P3PL97SZ-3627KMDI},01/02/2010 8:52,HLH0512,PC-2288,Logon
{D2B5-T7KG62LO-3885YEJY},01/02/2010 8:53,BQS0525,PC-0269,Logon
{A2A0-L1VB61KD-7527DNFG},01/02/2010 8:54,BRB0355,PC-9896,Logon
{K3Q0-Z7YW31RE-2309YJPX},01/02/2010 8:54,IAR0694,PC-2804,Logon
{K9P7-X9NQ10UL-4304PVQD},01/02/2010 8:55,SMH0291,PC-3571,Logon
{K4R1-D8HW59NT-6976TTAY},01/02/2010 9:00,BDI0533,PC-5883,Logon
{Y0J2-Z8LN95PN-5467OUOP},01/02/2010 9:01,DAR0885,PC-1312,Logon
{T8J2-R8BN34GQ-6527KDNR},01/02/2010 9:09,ALB0892,PC-2744,Logon
{H3B1-S1YW87QV-8953UWJM},01/02/2010 9:55,NGF0157,PC-6056,Logon
{S6X4-G0XW88OE-8151WGJR},01/02/2010 9:57,IKP0472,PC-3842,Logon
{L4T8-T9IU13OH-2799XSWU},01/02/2010 11:03,RRC0553,PC-6672,Logon
{G1G1-I6JC97QS-6708BSTX},01/02/2010 11:21,MHH0180,PC-9822,Logon
{H4C6-U0UX24LV-8077DDJK},01/02/2010 11:33,LRR0148,PC-4275,Logon
{B3T0-G3JQ49JT-8866ERJV},01/02/2010 11:48,AHC0142,PC-8893,Logon
{M5H4-E5NJ35VF-9141ISID},01/02/2010 12:05,IRM0931,PC-7188,Logon
{D2E3-U0NC42RV-0947RNRZ},01/02/2010 12:18,FOB0756,PC-6204,Logon
{V0G6-H7UK52DH-4499LQOB},01/02/2010 12:21,SSJ0784,PC-0840,Logon
{W3J2-Q9AU40KA-1412DSHM},01/02/2010 12:29,HAD0246,PC-0926,Logon
{I8R9-W0BO34WJ-8577QEHK},01/02/2010 12:32,JHP0583,PC-9083,Logon
{U9K1-X0QS36TU-8757VUGH},01/02/2010 12:32,HDD0806,PC-6032,Logon
{T8H4-Q9FD09SQ-9327CYHA},01/02/2010 12:35,ATE0869,PC-1313,Logon
{Q8Z4-Q7VH55VA-1705KMJE},01/02/2010 12:39,NOB0181,PC-3446,Logon
{N3J3-F4KM92IM-3476IKHZ},01/02/2010 12:50,CTR0341,PC-6184,Logon
{Q3H5-A5UB15TA-3431LGCR},01/02/2010 12:58,NWK0215,PC-8370,Logon
{R2Q8-N2EM95EL-6983VGJM},01/02/2010 12:59,BDI0533,PC-5883,Logon
{B1Q6-K1BR11XT-2750SEDB},01/02/2010 12:59,AMW0392,PC-6163,Logon
{H5K4-J2YX40LS-9247ZSPG},01/02/2010 13:15,ABC0174,PC-5156,Logon
{X4D6-D0KQ14BH-6203LUIS},01/02/2010 13:19,BRB0355,PC-9896,Logon
{D7E9-L9CN00II-5107RCWQ},01/02/2010 13:23,HPH0075,PC-2417,Logon
{V8A0-V6HK70PV-4220QEPH},01/02/2010 13:28,JDC0030,PC-0246,Logon
{B4C2-V4TY58PB-2006VDDQ},01/02/2010 13:33,RZC0746,PC-7500,Logon
{H6S5-F0PE83CU-4922OELX},01/02/2010 14:03,FKK0055,PC-0435,Logon
{C0R1-J8TS29QN-8664QKQM},01/02/2010 14:06,RAW0915,PC-2113,Logon
{V3C6-Y6ML70RT-0816XMXG},01/02/2010 14:06,WPR0368,PC-2173,Logon
{X1A2-X8KM97SR-4368YURY},01/02/2010 14:08,WPR0368,PC-2173,Logoff
{L1G4-W7CJ57DC-0759RTXR},01/02/2010 15:46,AJR0319,PC-4736,Logoff
{X7Q8-N6QT71PY-3031NAWU},01/02/2010 15:47,JCR0172,PC-6713,Logoff
{W2E1-H9GV66LM-3021KIDD},01/02/2010 15:49,HVB0037,PC-7979,Logoff
{L5A4-N3DP27EP-5547WUQC},01/02/2010 15:56,ABC0174,PC-5156,Logoff
{R9Z6-P5EF85AW-0705IGWZ},01/02/2010 15:56,NWK0215,PC-8370,Logoff
{P4P6-D3TZ77KM-5341VHWU},01/02/2010 16:07,ESJ0670,PC-2321,Logoff
{F7Z8-Z1IB31VI-6073UNHB},01/02/2010 16:16,IRM0931,PC-7188,Logoff
{G2D4-P9ZF28XV-2489HWTF},01/02/2010 16:17,WPR0368,PC-9842,Logoff
{B8N7-I4UV27ZA-0931QKKS},01/02/2010 16:42,FOB0756,PC-6204,Logoff
{V7N2-A0HL94WE-7298IBBC},01/02/2010 16:45,SSJ0784,PC-0840,Logoff
{I6C3-X6ED47IX-7641UKQQ},01/02/2010 16:51,JKJ0698,PC-1917,Logoff
{N6E7-V9WF05SM-0071EXXS},01/02/2010 17:00,CJM0521,PC-6249,Logoff
{H4S5-X3PE03QM-7228ZIIE},01/02/2010 17:00,HAD0246,PC-0926,Logoff
{W3A8-N4FV93TG-8293UPHU},01/02/2010 17:03,BQS0525,PC-0269,Logoff
{I5K6-P4DP67YS-9519XEAM},01/02/2010 17:05,BRS0734,PC-4785,Logoff
{A3I7-T5FC59LD-3522VDHH},01/02/2010 17:05,NGF0157,PC-6056,Logoff
{P2H7-E1BC40OC-0606MAIU},01/02/2010 17:06,BDI0533,PC-5883,Logoff
{L6A2-A4OP66JF-5006ZAEH},01/02/2010 17:06,HLH0512,PC-2288,Logoff
{U5Y1-X8JD78TA-9168GSEY},01/02/2010 17:07,BRB0355,PC-9896,Logoff
{R7F4-V8OA36AT-8882AWUY},01/02/2010 17:07,LRR0148,PC-4275,Logoff
{V4E0-H0DK56UY-8575IEVY},01/02/2010 17:10,HPH0075,PC-2417,Logoff
{C9A9-S7WB71CL-5124SQHZ},01/02/2010 17:11,RZC0746,PC-7500,Logoff
{Q1U9-X5DB36OS-7785THBU},01/02/2010 17:13,IIW0249,PC-0843,Logoff
{T0P2-K8DG47LA-4378PILQ},01/02/2010 17:17,MOH0273,PC-6699,Logoff
{F5O0-U6JQ60BG-1492ZNUC},01/02/2010 17:19,NAH0503,PC-8267,Logoff
{Y8O6-M3HM31KJ-8621NKZC},01/02/2010 17:27,AHC0142,PC-8893,Logoff
{R5E5-T1LH03OZ-1507OSTQ},01/02/2010 17:31,FKK0055,PC-0435,Logoff
{A6X6-Y9KN96JN-7858MTMF},01/02/2010 18:00,ATE0869,PC-1313,Logoff
{D1T5-S8MH06IW-5640VHYS},01/02/2010 18:02,IKP0472,PC-3842,Logoff
{W9W0-V7MF74GY-1051WRYM},01/02/2010 18:03,RRC0553,PC-6672,Logoff
{Y7Y4-K5BK02HD-4559NPFQ},01/02/2010 18:10,JKF0465,PC-6797,Logoff
{Q3Y9-O0AE52WL-9104LANY},01/02/2010 18:13,SMH0291,PC-3571,Logoff
{C6Q4-O6KR90SP-5539CFPC},01/02/2010 18:17,NOB0181,PC-3446,Logoff
{K1P3-A3HO37YU-4185JBUP},01/02/2010 18:19,DAR0885,PC-1312,Logoff
{M4W1-X6QL92VZ-6261MJVP},01/02/2010 18:19,HSB0196,PC-8001,Logoff
{G1B7-H9TQ81ZY-8455XVZG},01/02/2010 18:20,MHH0180,PC-9822,Logoff
{T0A7-A6NP85KB-7871TLEJ},01/02/2010 18:26,ALB0892,PC-2744,Logoff
{L8K2-B0HE97FH-3396TWDH},01/02/2010 18:28,LAP0338,PC-5758,Logoff
{T8E8-Z9FU65SZ-6407BQJX},01/02/2010 18:29,CTR0341,PC-6184,Logoff
{K7M0-Z8MO33JD-2177WKPW},01/02/2010 18:30,YIC0195,PC-9353,Logoff
{H2K6-I5QI37HF-7165AZXP},01/02/2010 18:40,JHP0583,PC-9083,Logoff
{O8A9-R3AT26TO-9784PBNO},01/02/2010 19:00,IAR0694,PC-2804,Logoff
{E3W3-T7TC80CR-0006LLCN},01/02/2010 19:15,AMW0392,PC-6163,Logoff
{O0T6-E3DG90UZ-0591GTXN},01/02/2010 19:42,AOK0844,PC-4659,Logoff
{M8D4-F2TN67UI-9431ZUGT},01/02/2010 19:43,JDC0030,PC-0246,Logoff
{P3A0-D9GU45TF-5482XIYH},01/02/2010 19:45,RAW0915,PC-2113,Logoff
{H7M7-Z1YV75MM-2307FTGX},01/02/2010 20:32,HDD0806,PC-6032,Logoff
{K9L4-L1HS62OX-5868NLCT},01/03/2010 0:56,BSS0369,PC-8884,Logon
{Q8R9-N8BX35KN-2209CPLO},01/03/2010 1:12,BSS0369,PC-8884,Logoff
{K7Z1-Z1PY78MD-3656BKEX},01/03/2010 6:50,DLM0051,PC-0166,Logon
{C2K5-M7NF55GQ-1082NAXU},01/03/2010 7:06,CMB0912,PC-6539,Logon
{D3R6-Z6OV04MX-2642UHYY},01/03/2010 7:07,SBN0971,PC-0151,Logon
{A6B1-R0IS63PX-3297RHYS},01/03/2010 7:13,LBH0942,PC-3640,Logon
